,unemp,month,year,GDP,CPI,projects_created_per_month,projects_started_per_month,donation,bussiness,mom,unknown,fun,home,sister,son,granddaughter,family,comments_per_month,photos_per_month,favorites_per_month,lag_days
0,7649,1,2007,14215.651,202.416,1960,1960,48,42,36,35,9,7,7,6,9,3,1559,4593,12562,1104.360824742268
1,8221,1,2008,14706.538,211.08,5655,5655,71,94,79,54,54,41,19,20,1,16,5190,13382,31615,214.32005689900427
2,13009,1,2009,14430.902,211.143,8016,8016,130,187,130,91,62,22,36,18,4,13,6040,18274,42575,38.34294117647059
3,16147,1,2010,14764.61,216.687,9632,9632,164,208,170,101,65,46,21,45,13,10,8110,24458,49733,38.12336477030727
4,14937,1,2011,15351.448,220.223,11746,11746,193,211,122,130,78,66,39,22,13,4,8766,29060,46008,23.687668978488304
5,13541,1,2012,16068.805,226.665,12709,12709,209,202,151,117,62,59,42,21,25,11,7049,32556,65448,19.48912034649892
6,13181,1,2013,16648.189,230.28,13734,13734,205,125,137,80,68,36,44,40,12,19,7783,37557,58395,23.5654809663903
7,10855,1,2014,17197.738,233.916,13209,13209,205,152,98,66,39,37,25,35,34,9,6348,40403,46850,21.041688199827735
8,9498,1,2015,18063.529,233.707,13116,13116,249,123,135,52,49,25,27,21,18,6,8070,43508,51075,15.026242745394903
9,8309,1,2016,18525.933,236.916,11763,11763,290,91,102,59,70,60,17,20,20,7,3782,39659,37439,19.539065420560746
10,8149,1,2017,19280.084,242.839,10705,10705,207,141,97,40,40,37,39,25,11,10,3324,34692,44401,37.278051335777896
11,7189,1,2018,20328.553,247.867,10635,10635,183,92,105,67,32,21,16,7,14,15,2470,38151,40216,20.951888256595964
12,7140,1,2019,21111.6,251.712,10614,10614,225,111,89,29,15,48,44,17,7,17,2298,39969,37289,22.273362804564613
13,6504,1,2020,21751.238,257.971,10304,10304,232,114,84,50,12,21,11,8,11,24,2130,40934,29767,21.847807667866977
14,10851,1,2021,22680.693,261.582,9905,9905,191,146,76,28,7,38,15,18,29,22,1883,42806,27023,19.010958012368448
15,7207,1,2022,25250.347,281.148,9949,9949,221,37,60,38,8,26,24,5,10,26,1643,38311,23046,13.823180592991914
16,6378,1,2023,27216.445,299.17,10578,10578,275,112,86,61,22,59,12,4,6,10,1279,45189,20569,20.203578287678155
17,6778,1,2024,28708.161,308.417,11744,11744,276,76,74,22,45,19,29,2,3,8,1384,42061,22760,18.020125671614608
18,7467,1,2025,30042.113,317.671,8005,8005,253,50,50,43,30,21,10,5,2,8,404,24489,5100,1.039648155441775
19,6532.0,4,2007,14402.082,206.686,363,363,2,7,4,1,5,3,1,1,2,1,329,696,2129,961.3777777777777
20,7287.0,4,2008,14865.701,214.823,3477,3477,22,102,96,34,21,13,3,11,2,6,3192,8123,22234,43.755005889281506
21,13248.0,4,2009,14381.236,213.24,5140,5140,53,48,81,67,31,15,22,8,3,11,4444,12637,28382,21.814028956565153
22,14609.0,4,2010,14980.193,218.009,6090,6090,88,159,135,64,23,33,19,7,0,7,6165,16202,31539,18.765227675931403
23,13237.0,4,2011,15557.539,224.906,7714,7714,131,76,123,79,55,39,33,16,2,11,6407,19541,28685,15.82454284418921
24,11910.0,4,2012,16207.115,230.085,8292,8292,79,108,126,52,51,24,39,36,9,23,5515,21304,38888,16.673629608860228
25,11014.0,4,2013,16728.687,232.531,8769,8769,121,93,117,46,40,25,14,14,5,7,4715,24454,34826,14.83022533022533
26,9079.0,4,2014,17518.508,237.072,8323,8323,142,95,118,59,16,30,13,7,12,6,3880,24409,25893,13.717140966247518
27,7966.0,4,2015,18279.784,236.599,7379,7379,123,103,127,35,39,8,25,5,6,2,4877,25075,53375,14.116902457185406
28,7413.0,4,2016,18711.702,239.261,6712,6712,121,47,67,42,11,13,11,4,10,3,2629,24172,22229,23.753529125425928
29,6555.0,4,2017,19438.643,244.524,6685,6685,150,69,55,23,30,19,6,8,18,4,2497,22659,25577,16.88800390117035
30,5932.0,4,2018,20580.912,250.546,7421,7421,142,37,58,39,47,10,31,6,2,6,2282,26820,40520,26.89665168865053
31,5387.0,4,2019,21397.938,255.548,7367,7367,161,129,76,28,9,17,7,3,8,3,1836,27584,27695,17.417250437828372
32,22504.0,4,2020,19958.291,256.389,8846,8846,141,97,101,49,17,20,11,3,11,30,2312,32866,24121,12.36856695191033
33,9220.0,4,2021,23425.91,267.054,6757,6757,177,81,67,8,12,7,7,2,8,4,1159,27172,17143,19.803912363067294
34,5458.0,4,2022,25861.292,289.109,6894,6894,165,119,71,19,8,3,5,3,8,5,1146,25118,19553,14.623141762452107
35,5146.0,4,2023,27530.055,303.363,8044,8044,152,45,69,45,14,7,9,3,4,5,1246,30005,18062,15.9671875
36,5894.0,4,2024,29147.044,313.548,8971,8971,224,45,74,26,30,18,38,2,2,18,999,31429,18623,9.596131163010144
37,6582.0,4,2025,30485.729,320.795,5880,5880,158,58,36,8,11,10,7,4,6,5,295,17399,3223,6.067493356953055
38,7556.0,7,2007,14564.117,208.299,406,406,18,6,13,8,0,1,1,1,1,1,259,747,1428,811.48
39,9433.0,7,2008,14898.999,219.964,4014,4014,82,105,52,69,33,18,15,8,0,2,3375,9918,20571,23.738008600727753
40,15201.0,7,2009,14448.882,215.351,5003,5003,62,68,75,53,42,27,11,11,6,2,3531,12213,18663,19.110918544194107
41,15137.0,7,2010,15141.607,218.011,6647,6647,70,120,87,96,86,38,28,6,13,21,5857,18274,29619,31.18213845340849
42,14428.0,7,2011,15647.68,225.922,8006,8006,100,104,95,68,45,28,12,21,5,7,6403,20255,26408,23.38738338516215
43,13400.0,7,2012,16319.541,229.104,9170,9170,123,99,98,84,36,39,20,24,7,3,5212,25811,22866,9.313509452860899
44,12083.0,7,2013,16953.838,233.596,9217,9217,149,98,76,61,49,32,18,12,9,5,5517,28092,27603,16.030571393909984
45,10307.0,7,2014,17804.228,238.25,8840,8840,120,77,71,48,47,34,21,10,21,6,3957,27677,27661,12.74527833001988
46,8805.0,7,2015,18401.626,238.654,8161,8161,120,96,45,44,39,15,13,13,29,2,3427,28448,25756,12.89696239796601
47,8267.0,7,2016,18892.639,240.628,7124,7124,126,105,37,34,51,21,7,25,27,3,2281,21756,19462,17.317552138833918
48,7441.0,7,2017,19692.595,244.786,7017,7017,129,58,44,40,45,17,12,3,17,4,1814,22504,31764,13.463799173427216
49,6730.0,7,2018,20798.73,252.006,7323,7323,108,62,65,28,50,22,8,10,16,4,2012,25724,27421,12.705197263065948
50,6556.0,7,2019,21717.171,256.571,6786,6786,165,70,29,18,9,8,24,22,6,3,1638,26610,26362,12.041454081632653
51,16882.0,7,2020,21704.437,259.101,7900,7900,133,121,51,31,13,18,29,3,7,4,1502,26777,28429,10.48083109919571
52,9221.0,7,2021,23982.379,273.003,7145,7145,186,110,40,45,9,8,17,8,1,1,1411,27236,17918,12.624316738070616
53,6255.0,7,2022,26336.304,296.276,7355,7355,194,88,67,27,10,11,11,3,5,4,777,26130,14517,10.08404315729699
54,6372.0,7,2023,28074.846,305.691,8791,8791,212,48,22,10,23,22,24,2,6,5,1582,30726,17022,15.604543840965567
55,7685.0,7,2024,29511.664,314.54,10674,10674,320,95,66,35,11,14,4,14,5,2,1575,37110,15455,4.308145819003635
56,7847.0,7,2025,31098.027,323.048,5860,5860,192,76,32,17,8,11,4,2,7,4,304,17152,2531,3.609544083732482
57,6773,10,2007,14715.058,208.936,757,757,13,5,11,7,4,2,17,3,0,0,689,1489,3742,625.4876543209876
58,9469,10,2008,14608.209,216.573,5108,5108,109,125,100,81,47,11,16,12,3,5,4982,11929,40771,34.29094660820222
59,14547,10,2009,14651.249,216.177,5693,5693,103,96,97,53,31,11,16,25,3,7,3939,12665,21481,27.077536552946388
60,13903,10,2010,15309.474,218.711,7310,7310,86,155,131,75,26,20,33,26,4,11,4693,17300,25521,20.667660208643817
61,13102,10,2011,15842.259,226.421,9623,9623,114,153,129,128,30,37,33,26,6,2,5664,23885,24511,13.14014687882497
62,11741,10,2012,16420.419,231.317,10671,10671,131,185,120,66,40,38,20,28,17,1,4860,26349,24616,20.01898869212716
63,10773,10,2013,17192.019,233.546,10345,10345,184,135,126,100,22,36,23,40,6,12,4164,27209,22891,13.672569220862846
64,8680,10,2014,17912.079,237.433,10597,10597,156,102,113,43,20,26,39,27,25,7,3841,28582,23307,15.354261012762453
65,7597,10,2015,18435.137,237.838,9230,9230,173,78,121,33,16,34,20,21,15,4,2856,24804,25285,13.927997162449751
66,7447,10,2016,19089.379,241.729,8344,8344,173,73,100,25,20,10,9,12,14,3,2467,25105,23774,24.351470971101275
67,6242,10,2017,20037.088,246.663,7835,7835,140,73,64,53,18,22,13,18,17,8,2479,23662,51050,24.4024626452684
68,5771,10,2018,20917.867,252.885,8405,8405,182,105,100,34,29,18,11,34,8,8,1492,25997,31093,14.76006152268649
69,5510,10,2019,21933.217,257.346,7861,7861,162,94,47,21,19,12,8,10,8,12,1499,26494,22650,14.128055404671374
70,10620,10,2020,22087.16,260.388,8242,8242,255,117,77,8,13,38,14,7,18,4,1233,29160,20636,19.339358974358973
71,6896,10,2021,24813.6,276.589,7324,7324,107,150,59,26,10,22,7,7,9,23,774,25739,15570,23.345517841601392
72,5609,10,2022,26770.514,298.012,7942,7942,233,144,61,24,26,7,27,4,1,11,774,26578,15114,18.041075729194542
73,6098,10,2023,28424.722,307.671,8729,8729,173,62,97,30,9,9,13,6,10,8,1377,28991,36175,11.853220951234196
74,6631,10,2024,29825.182,315.664,10038,10038,326,71,55,19,6,20,6,3,7,9,655,31602,19514,4.819352811812755
